8512	47	4718
1006	15	897
10148	34	7340
3920	47	2670
1060	15	890
10515	9	10601
9777	15	898
7028	11	5133
7306	31	5579
346	39	7360
2463	31	5579
9632	23	2554
4315	10	6213
1001	15	895
4698	35	5163
3004	43	10602
7274	47	7432
1998	47	436
900	15	893
1620	43	6005
2274	31	5579
5420	21	3142
3553	15	892
6602	10	4203
10599	11	9807
5960	47	2162
3530	43	7881
8871	11	2797
8472	31	3742
5596	11	5289
9291	15	897
4590	34	2789
10181	11	7151
9005	31	6639
10949	10	3093
10345	34	6884
8668	45	10233
10091	21	8278
7829	15	893
7671	34	1810
11341	15	893
134	10	10590
1638	39	9478
557	34	7340
11284	11	7845
4460	15	891
3381	47	8055
7827	47	7845
362	31	4874
175	7	376
6785	31	2935
5302	34	4050
7591	15	892
5161	10	3093
5491	18	9448
1076	15	897
8324	11	3191
5660	11	4781
8199	10	4203
7837	31	5579
1426	50	2719
3826	23	4456
6797	10	2980
2894	15	893
4083	21	6175
6361	10	3172
3720	7	11269
3207	25	3564
3750	12	3129
9460	21	9215
7148	11	2871
5683	43	5312
5130	11	2871
9113	15	895
7029	10	3393
445	11	2694
9452	47	6296
4255	47	7432
4276	15	892
7455	34	6137
6765	47	1783
2054	23	5579
9659	11	8116
7843	43	7118
2905	7	4026
9989	11	4940
683	10	3093
9443	47	7436
5795	11	10148
278	10	3172
6188	31	5579
6882	10	10611
1204	15	894
8881	11	3831
9453	10	8086
6673	47	770
2707	11	9450
6571	43	6003
11078	34	7340
3006	47	10663
3151	31	5579
6997	11	7443
8768	23	5579
10739	11	5733
10846	10	3172
5291	15	891
8777	31	9184
4320	15	893
7267	47	3562
72	42	10121
6361	11	2000
3299	15	895
2	3	24
3419	34	6137
8448	10	3172
10111	25	11174
7689	11	7439
9389	15	894
11451	11	5058
3083	39	8638
10830	11	2719
641	7	4455
573	10	3093
10965	11	7596
8710	10	3172
339	12	10240
268	31	5579
8261	31	5579
908	15	893
8620	43	53
2945	11	5872
5111	15	895
7959	15	897
7075	39	10352
6237	25	11462
2621	43	6001
2410	34	10130
5731	48	4312
1602	11	7462
254	43	7092
3291	10	1593
9887	34	3143
790	10	3172
1413	13	9909
10972	41	2294
5277	21	2091
8962	38	3380
597	12	3268
8514	21	7134
8390	42	2567
10971	47	5232
2638	15	891
6079	43	6001
9176	7	1163
4633	31	5579
4021	13	5795
7936	10	4005
7183	11	10870
8867	11	1627
3598	15	890
1848	10	3010
11360	10	3093
6763	15	894
3378	7	11060
10446	49	4698
6842	47	9475
9541	10	3093
3067	11	326
7786	11	7462
3322	10	4532
4796	15	890
845	31	3345
10033	37	10478
9275	31	5579
1764	25	3471
10076	21	10400
5366	47	5205
10111	47	2162
6795	10	3314
11272	10	4491
2551	42	2132
10076	11	2697
8341	47	4600
5934	15	897
831	11	10316
7047	39	6356
7159	22	5363
4774	47	10490
9039	10	494
10393	10	1251
1910	7	6717
5952	25	6231
5556	10	5196
6454	11	7443
5729	10	7528
8548	11	5832
2297	33	1388
1578	10	3093
5881	21	7310
339	12	10376
1573	31	6600
5185	15	894
11295	31	5278
6055	21	2196
3468	15	890
4066	47	3686
7074	10	3172
10972	34	7340
2398	12	9469
2204	10	4005
2562	21	8159
7680	11	8885
7776	11	5208
2355	31	3742
3640	34	2783
435	11	2875
5545	10	6213
2466	31	5579
8339	47	10803
948	15	897
7997	25	8895
5229	11	7598
3002	31	5579
7201	47	7426
3277	11	6557
7990	47	7447
6198	10	444
7431	31	5579
8406	11	5872
10148	13	7304
7287	7	10339
11392	11	3195
9284	10	5961
3527	47	7442
8704	15	892
1929	11	2669
4401	21	2913
10808	11	3626
8207	47	846
5966	7	8729
9132	43	4998
6708	15	890
243	47	6636
10472	10	4203
10503	15	894
9469	43	2978
5915	15	894
10432	15	891
11008	43	2625
9852	10	5528
6244	31	6031
5795	11	5426
208	31	3742
8203	47	6336
10723	47	7556
715	43	7092
6812	47	7442
1881	13	3288
6657	37	7024
8232	31	5579
6225	25	11453
9611	10	4203
3244	47	9140
9714	11	6067
1408	11	11287
8454	11	2800
3977	21	8128
7715	21	9890
9667	15	894
742	15	893
6688	47	6906
8510	10	6213
3321	10	3547
9112	34	537
7738	15	890
9632	20	11309
6157	15	891
5617	24	7737
4094	11	4381
5041	43	392
5918	15	892
1088	15	898
5885	15	892
644	36	88
9029	31	5579
8083	11	3530
6645	11	6330
11144	47	3607
1767	39	1285
9293	15	890
339	12	5041
4412	21	9076
10493	15	892
11176	47	2141
1583	47	5232
9897	31	3742
5313	47	3788
3964	49	6154
8165	47	2071
565	7	2839
1665	10	7528
6888	47	4024
4710	47	2162
8265	47	7478
310	11	7478
713	31	6539
11109	10	3172
7649	15	897
3826	23	6777
4149	13	1486
10061	43	5314
9216	10	4723
927	15	894
11282	11	6286
5579	15	7389
565	31	3742
437	15	892
6858	21	2970
4736	21	2091
2643	25	2211
9093	15	894
3733	15	892
6828	47	9139
1852	11	8644
8501	49	4698
7142	15	890
4698	24	3991
8603	10	3172
6698	15	1312
5255	10	359
8435	10	3172
624	11	4035
8041	10	3093
8814	47	2799
3518	11	2836
3470	39	9652
1112	15	889
3868	43	1954
7032	15	892
6727	10	1144
7902	10	3172
3349	15	895
5602	7	10243
4967	15	897
5411	7	3800
7267	10	177
795	43	3275
707	11	10294
8182	23	5579
5253	11	5719
463	15	893
10537	49	3975
8983	15	892
7239	11	1487
1715	10	10792
4359	10	3802
874	21	6714
9460	21	8082
2234	10	5942
5647	11	2647
10413	39	6938
5248	21	3430
5512	10	2127
10150	34	537
8902	10	3172
4315	39	10939
8145	11	809
97	10	3314
5519	10	5196
1085	15	898
7447	32	7435
3273	21	5413
10482	34	6137
6185	25	6880
11036	10	3093
4520	10	5666
5082	43	8047
1236	15	895
10827	11	1473
7378	11	5468
6483	18	10932
1973	47	10369
8123	47	5468
4358	43	7092
4054	10	6555
3524	21	10024
11025	21	3548
5721	15	893
10844	11	3193
2778	11	5861
5745	42	10899
2944	49	4420
4840	10	3179
8541	10	3393
4992	41	2294
9204	43	4998
5803	31	5579
7320	21	2091
1623	36	87
683	10	1684
8536	11	10481
1032	15	896
9151	32	7375
5029	10	5196
2893	15	895
4698	35	3768
10358	34	410
2079	13	2546
9783	10	10522
5632	13	7386
3115	10	2702
2675	10	6217
11287	24	7073
9391	11	5287
9421	15	893
9836	10	4203
1510	47	7369
797	47	10316
773	43	2013
4255	7	7251
7027	15	897
10166	31	3742
4437	7	4026
7520	15	891
867	10	3875
11288	15	891
3436	31	3742
9061	10	3907
8196	7	10430
5144	10	5338
1908	47	1928
1021	15	890
1660	13	8620
5841	43	5168
3266	25	2140
4367	30	6218
3161	10	6213
2840	11	5232
11287	24	4163
8933	34	7340
5354	47	7034
2340	10	3178
7185	21	8051
7792	15	895
9310	15	894
9286	10	4005
6981	15	891
10187	47	8116
2117	21	8945
9479	10	3393
4992	34	7340
2070	15	897
4320	21	7840
1426	50	9584
8432	47	3626
10856	11	2720
5320	12	159
1671	10	1962
11143	11	10294
586	33	3958
1179	15	895
5335	11	7439
5884	15	897
9276	10	4478
3141	24	1658
4331	7	10339
997	15	897
5931	15	893
755	15	890
3736	45	1320
4975	7	4116
268	7	595
9144	10	3401
9686	34	5976
3334	15	895
2742	10	3093
9541	10	1684
585	34	6137
8684	47	6062
2261	10	6133
4154	10	2253
4169	31	169
4966	13	4698
9412	11	2835
5718	10	5382
338	15	897
7506	25	9379
11096	21	2910
11149	15	893
7936	39	80
4415	11	2875
1198	10	5740
1341	21	2446
8740	11	259
3394	50	10333
6828	7	10548
10935	11	7442
9029	11	7460
1258	15	1327
2468	7	6481
4198	47	4540
5291	15	890
3938	10	3093
1275	47	3525
3148	10	2085
6454	47	7296
1426	23	5579
3742	43	232
1426	50	10316
295	31	9491
3541	31	5579
778	10	3172
3126	11	3019
1292	11	3289
6824	47	7481
7161	21	4369
2652	21	3939
3354	25	7533
1013	15	895
5582	23	5579
7050	11	4540
1909	14	8993
8695	10	3172
4576	15	896
11072	11	2705
8732	47	9139
4698	12	7888
8443	7	3826
8715	11	8037
7515	39	8133
10913	47	11333
10696	11	2797
8460	11	6746
1134	15	1127
9297	11	2799
9507	15	898
11429	39	8924
10759	15	890
5515	15	894
5602	11	6657
1829	11	1487
7453	21	9213
9960	15	894
7920	31	6052
10312	47	10080
4917	15	896
5785	47	5205
3742	19	1504
9242	15	897
8889	31	9812
3081	10	3875
4083	15	893
8042	34	7131
4024	45	10755
8517	11	4715
2720	23	3742
5922	15	897
7414	15	893
9903	43	7128
5730	21	6511
11215	15	891
7702	9	429
10600	31	10837
5404	23	5579
4469	47	3074
907	15	892
6660	13	11424
2468	10	6213
2916	15	898
4855	36	4706
6940	21	3676
10710	43	5168
3097	31	5579
6362	11	9645
5801	10	10790
3981	14	747
5121	11	2705
10193	11	4381
7542	10	10522
4702	31	3516
6467	20	4660
7904	21	3864
9942	47	6998
11214	10	4342
4987	15	894
2208	10	2085
2950	43	7092
6558	23	4583
570	10	1593
1996	10	3093
2419	43	3050
4358	47	2162
4563	35	10055
6657	37	887
2225	7	8712
9928	15	893
271	10	3172
4790	11	6657
5407	21	2091
1638	21	5273
10579	10	3093
11071	31	3742
4288	43	1954
2658	9	11208
5325	47	2149
3938	11	7478
4066	7	4509
5061	25	9379
10202	31	9948
4574	10	1593
780	10	4478
1757	13	5328
4469	11	5717
6724	11	4838
10202	43	8047
2362	15	893
6085	15	890
7975	15	1325
7843	11	10226
6009	7	6513
5572	47	2694
4847	15	897
8015	19	7471
5080	21	8048
4469	10	1943
479	7	10404
5529	47	6470
2716	10	3093
10019	11	5094
9285	9	10046
5284	47	5232
6803	25	6208
7300	11	886
9603	11	2159
1016	15	892
11491	25	5297
3666	47	4314
4233	21	348
10283	43	10282
4322	13	5899
5730	10	1400
1848	21	1543
5805	10	3093
1057	15	894
10946	31	5579
4840	10	3875
8439	11	5058
10131	31	3742
1223	15	1330
4105	13	475
7543	11	10045
2485	7	6046
5458	49	8620
2643	31	3603
7497	23	5579
8708	23	2487
11024	47	10663
5773	47	10767
10717	24	7136
7439	43	7329
7529	10	1664
9763	47	3289
4860	15	893
307	47	8116
2162	34	2954
6170	7	3789
4623	47	3289
4877	13	4575
8775	15	897
2042	13	1504
7694	10	3172
2559	12	2487
11330	30	11331
4674	10	3393
1527	13	3379
2488	47	2696
4104	15	890
4702	40	5401
8770	31	2554
7891	11	10682
10449	20	3575
6840	47	10020
5751	43	10533
3264	34	3143
11086	15	893
1138	15	1129
6954	10	6213
10022	25	9112
5739	21	4321
6432	47	7434
3933	15	1266
8092	15	895
11099	43	11256
3271	21	4587
6521	11	4728
6606	11	1487
2826	25	9442
8165	11	4024
10698	25	9869
2510	11	2768
9047	15	895
10027	43	3841
5795	40	11313
4730	34	6701
1502	10	7165
1739	25	10455
2551	9	9463
4122	10	3401
5867	10	6947
8413	34	6622
4783	31	2487
5324	21	7733
7522	43	2904
661	15	892
5867	31	3742
6430	11	7082
11443	15	895
8568	11	4947
9814	15	895
5733	12	5948
6995	47	1530
6789	15	893
7271	7	5700
2622	7	10632
3171	11	7426
6529	10	3172
4520	11	7481
6897	15	895
8599	11	8081
2074	15	893
8007	47	3289
5599	25	291
5288	11	7441
6349	11	3051
5462	11	3344
11488	15	891
6917	10	6213
10188	11	2835
7868	10	4203
2315	43	7092
5137	11	6485
736	10	4489
10115	47	7436
4604	18	10932
4711	34	6137
5477	11	2162
9109	31	5454
4773	39	3894
6426	7	5870
7139	15	892
428	43	1727
7585	11	9511
4185	15	889
10469	34	6064
1610	15	891
10789	11	11280
1410	47	203
9644	10	10499
7660	47	200
6670	10	7540
2510	10	3802
389	10	7360
4582	23	2419
1555	47	10520
4625	10	177
8255	47	3155
4198	25	7669
1618	15	894
625	10	3093
4855	15	897
4180	31	6589
10821	43	9635
2002	31	3742
7712	43	5168
5580	11	5791
2754	11	1487
9991	10	3093
3464	11	3193
4731	15	893
1196	15	893
3161	43	5312
1516	23	5579
11162	21	3864
3767	31	5579
9474	34	6137
8726	24	2539
6111	10	3883
5107	15	894
1194	10	1295
8207	11	7432
10083	11	4698
4264	7	7087
4900	10	1913
1849	12	9971
6610	21	8051
10666	34	7730
6954	10	4014
8353	10	11014
5456	49	11287
6015	11	4838
9761	34	6516
11031	10	3314
3772	10	7528
5939	34	6872
4078	15	895
8131	23	5579
8327	10	3172
6283	10	2085
446	15	898
4890	45	6459
2099	11	4698
5697	43	7117
8271	10	10630
6139	21	9271
9856	11	9675
4705	15	891
2370	13	8972
7520	15	890
924	15	891
3420	10	10522
5354	10	10611
2967	11	10294
8354	15	893
7888	21	10798
362	25	2821
4736	21	8841
6657	43	7720
2115	10	3093
2811	47	2875
8287	11	3313
4681	10	8586
9534	15	894
3253	10	3999
6169	34	10046
6060	31	2935
9028	43	5113
3456	47	9694
10959	11	3019
8786	10	3172
7047	39	3262
7189	11	11470
8628	11	3193
6257	25	6365
5796	10	4005
3791	47	6196
3148	10	2127
4535	47	8989
6331	39	7686
6981	15	890
5576	10	10792
10278	31	2487
10110	13	6563
5462	43	4590
2281	47	7426
8625	10	3172
500	21	6986
10920	11	7436
5918	15	895
5173	47	5207
1628	10	3999
6152	47	2653
6379	38	2205
5885	15	895
8085	10	2184
11158	7	10436
489	21	9076
9458	43	6184
5345	47	3934
4670	39	524
7773	47	6657
7157	15	891
7395	11	10960
2487	16	3516
6931	10	7165
4864	11	3891
4054	31	5579
8530	15	892
6402	10	6947
11062	10	3172
1800	23	3742
2718	31	3742
8080	21	8388
5960	21	11210
3445	15	892
667	15	897
2264	34	3631
965	15	892
5638	25	10375
9545	21	2691
451	10	3093
8858	15	891
1888	34	6895
6399	10	8380
11222	39	1827
7004	7	10615
10220	10	3093
8415	11	7434
9095	29	5579
6328	21	3652
6391	10	7790
3544	34	5907
3793	49	4420
6012	10	3734
6592	10	4260
9829	47	3626
252	15	898
6673	11	770
9408	33	3202
5334	15	897
9519	34	3690
10893	10	6947
4514	10	1976
5552	10	3093
10887	11	2797
7785	25	9673
8300	11	635
11265	47	2694
7213	10	3093
2926	23	3742
3077	47	2162
336	10	3093
5063	11	5389
11274	15	898
5203	11	10722
11315	11	9320
3858	32	1562
1564	25	2194
7994	31	5579
5164	15	894
565	47	5791
9919	39	1593
1519	34	422
4950	10	4203
7936	21	4361
7995	15	897
11287	9	11211
5332	18	2182
3184	34	537
9758	7	4597
6017	47	6643
9202	21	11450
7000	11	3019
11164	11	4838
5007	13	3738
